Clip ID	Word Number	Original Word	TreeTagger POS	POS	Lemma	Speaker	Start Time	End Time	SRT Line	Language	File ID	Tense	Mood	Number	Person	Gender
MF025_1967_CT_SU2011_VA_08	tt-5127	pues	CSUBF	Conjunction	pues	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5128	me	PPX	Pronoun	yo	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5129	encontró	VLfin	Verb	encontrar	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA	Pret	Indi	Sing	3rd
MF025_1967_CT_SU2011_VA_08	tt-5130	a	PREP	Preposition	a	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5131	mí	PPX	Pronoun	yo	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5132	.	FS	Punctuation	.	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5133	Bueno	ADJ	Adjective	bueno	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5134	,	CM	Punctuation	,	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5135	yo	PPX	Pronoun	yo	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5136	salí	VLfin	Verb	salir	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA	Pret	Indi	Sing	1st
MF025_1967_CT_SU2011_VA_08	tt-5137	y	CC	Conjunction	y	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5138	lo	PPC	Pronoun	él	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5139	recibí	VLfin	Verb	recibir	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA	Pret	Indi	Sing	1st
MF025_1967_CT_SU2011_VA_08	tt-5140	,	CM	Punctuation	,	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5141	empezamos	VLfin	Verb	empezar	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA	Pres or Pret	Indi	Plural	1st
MF025_1967_CT_SU2011_VA_08	tt-5142	a	PREP	Preposition	a	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5143	platicar	VLinf	Verb	platicar	>>s	00:00:41	00:00:48	6	Spanish	MF025_1967_CT_SU2011_VA	Infinitive			
