ClipId	Gram	Prag	Herit	Vocab,Vocab
MM015_1963_EP_SU2011_AD_01	Det,Det:Art,Det:Pos,Gustar,Gustar:Interlocutor,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pres,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser,Gustar,Gustar:Propios,MSub,MSub:Pres	MarcadoresDisc,MarcadoresDisc:Igualdad,MarcadoresDisc,MarcadoresDisc:Igualdad		Entities,Entities:Geo,Verb:ser,Noun:eh,Verb:tener,Verb:gustar,Noun:tipo,Noun:escuela,Noun:padre,Verb:haber,Noun:historia,Noun:mmm,Noun:estudiante,Adjective:excelente,Adjective:favorito,Adjective:bueno,Verb:encantar,Verb:vivir,Noun:bien
MM015_1963_EP_SU2011_AD_02	Det,Det:Art,Det:Demo,Det:Pos,Imperf,Indefinido,MSub,MSub:Pret,Prep,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo		Entities,Entities:Geo,Verb:ser,Noun:eh,Noun:indio,Verb:venir,Noun:sierra,Verb:llevar,Noun:hijo,Noun:familia,Verb:decir,Verb:poder,Adjective:humilde,Noun:Chihuahua
MM015_1963_EP_SU2011_AD_03	Det,Det:Art,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,Prep,Prep:Para,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser,Gustar,Gustar:Propios	MarcadoresDisc,MarcadoresDisc:Revision		,Verb:ser,Noun:eh,Noun:persona,Verb:dar,Verb:saber,Verb:conocer
MM015_1963_EP_SU2011_AD_04	Det,Det:Art,Imperf,Indefinido,MSub,MSub:Pret,Prep,Prep:Por,Pron,Pron:Objeto,SerEstar,SerEstar:Ser,Genero,Genero:ExcepMasc	MarcadoresDisc,MarcadoresDisc:Revision		Entities,Entities:Geo,Noun:inglés,Verb:tener,Noun:problema,Verb:ser,Noun:eh,Noun:principio,Verb:saber
MM015_1963_EP_SU2011_AD_05	Det,Det:Art,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,Prep,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser,Gustar,Gustar:Propios	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Revision		Entities,Entities:Geo,Noun:eh,Noun:país,Noun:oportunidad
MM015_1963_EP_SU2011_AD_06	Det,Det:Art,Det:Demo,Det:Pos,Imperf,Indefinido,Prep,Prep:Para,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser,Aux,Aux:Haber,Gustar,Gustar:Propios,PerfPerif	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc,MarcadoresDisc:Igualdad		,Verb:ser,Noun:país,Verb:saber,Noun:estudio
MM015_1963_EP_SU2011_AD_07	Det,Det:Art,Det:Pos,Imperf,Indefinido,MSub,MSub:Pres,MSub:Pret,Prep,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo		,Verb:ser,Verb:hacer,Noun:hijo,Verb:haber,Verb:dar,Verb:educar,Noun:manera,Verb:arrepentir,Noun:vida,Verb:seguir,Verb:estudiar,Adjective:diferente,Verb:pensar
MM015_1963_EP_SU2011_AD_08	Det,Det:Art,Det:Demo,Det:Pos,Indefinido,MSub,MSub:Pres,Prep,Pron,Pron:Objeto,SerEstar,SerEstar:Ser,Aux,Aux:Haber,PerfPerif	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,RecuDiscurso,RecuDiscurso:GanarTiempo		,Verb:ser,Adjective:bonito,Adjective:extenso,Adjective:mexicano,Noun:cosa,Noun:idioma,Verb:comer,Noun:tradición
MM015_1963_EP_SU2011_AD_09	Det,Det:Art,Det:Demo,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pres,Prep,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,Genero,Genero:ExcepMasc,PerfPerif	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo		Entities,Entities:Geo,Verb:haber,Verb:poder,Verb:llenar,Verb:saber,Verb:tener,Noun:eh,Verb:lograr,Noun:aplicación
MM015_1963_EP_SU2011_AD_10	Det,Det:Art,Det:Demo,Det:Pos,Haber,Haber:Exist,Indefinido,MSub,MSub:Pres,MSub:Pret,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,Gustar,Gustar:Propios,PerfPerif,SerEstar,SerEstar:EstarAux	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,MarcadoresDisc,MarcadoresDisc:Igualdad		Entities,Entities:Geo,Fraseol,Fraseol:VerbPrep,Verb:hablar,Verb:decir,Verb:haber,Noun:palabra,Verb:saber,Verb:estar,Noun:vez,Verb:venir,Noun:inglés,Verb:escuchar,Adjective:mismo,Verb:caer,Noun:gente,Noun:reunión,Noun:círculo,Verb:hacer,Adjective:español,Noun:español,Verb:gustar,Verb:vivir,Verb:ser,Adjective:familiar,Verb:mezclar,Noun:México,Adjective:mucho,Noun:eh,Noun:este,Adjective:inglés,Verb:tener,Adjective:correcto,Noun:cosa,Noun:haz,Adjective:curioso,Adjective:bueno,Verb:quedar,Verb:usar
